"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.223655130570331,10,0,0.4,0.6
"2",0.232770163107436,12,0,0.4,0.6
"3",0.163261948572997,14,0,0.4,0.6
"4",0.161075166214278,16,0,0.4,0.6
"5",0.211472625283377,10,2,0.4,0.6
"6",0.167393024714288,12,2,0.4,0.6
"7",0.214417992251636,14,2,0.4,0.6
"8",0.234009014113999,16,2,0.4,0.6
"9",0.163504104543521,10,4,0.4,0.6
"10",0.233206165378477,12,4,0.4,0.6
"11",0.188255055673435,14,4,0.4,0.6
"12",0.150467743078805,16,4,0.4,0.6
"13",0.191394415032603,10,6,0.4,0.6
"14",0.256722381469918,12,6,0.4,0.6
"15",0.151332155757145,14,6,0.4,0.6
"16",0.211095544369315,16,6,0.4,0.6
"17",0.200668222066058,10,0,0.6,0.6
"18",0.188720025859459,12,0,0.6,0.6
"19",0.145897693071864,14,0,0.6,0.6
"20",0.166299955739464,16,0,0.6,0.6
"21",0.194170042805072,10,2,0.6,0.6
"22",0.207558033500739,12,2,0.6,0.6
"23",0.195841728595826,14,2,0.6,0.6
"24",0.171533933695307,16,2,0.6,0.6
"25",0.148249847118173,10,4,0.6,0.6
"26",0.207033326273624,12,4,0.6,0.6
"27",0.194648938601646,14,4,0.6,0.6
"28",0.164577914792588,16,4,0.6,0.6
"29",0.181170313640517,10,6,0.6,0.6
"30",0.204096287711117,12,6,0.6,0.6
"31",0.146005011727881,14,6,0.6,0.6
"32",0.165183826284287,16,6,0.6,0.6
"33",0.138978760115481,10,0,0.8,0.6
"34",0.155623047495602,12,0,0.8,0.6
"35",0.127986855214722,14,0,0.8,0.6
"36",0.162638496979485,16,0,0.8,0.6
"37",0.102597513288971,10,2,0.8,0.6
"38",0.14536406262474,12,2,0.8,0.6
"39",0.176302854510715,14,2,0.8,0.6
"40",0.130192967139227,16,2,0.8,0.6
"41",0.204991550589807,10,4,0.8,0.6
"42",0.137125602091124,12,4,0.8,0.6
"43",0.171554930341275,14,4,0.8,0.6
"44",0.16931620613759,16,4,0.8,0.6
"45",0.159721576453302,10,6,0.8,0.6
"46",0.167698604426098,12,6,0.8,0.6
"47",0.114500137684676,14,6,0.8,0.6
"48",0.160394875511266,16,6,0.8,0.6
"49",0.186717612922115,10,0,0.4,0.8
"50",0.152495716022745,12,0,0.4,0.8
"51",0.11546107106217,14,0,0.4,0.8
"52",0.115815805660109,16,0,0.4,0.8
"53",0.214672100399894,10,2,0.4,0.8
"54",0.144995480416837,12,2,0.4,0.8
"55",0.197676124959268,14,2,0.4,0.8
"56",0.142710945714403,16,2,0.4,0.8
"57",0.182771383148415,10,4,0.4,0.8
"58",0.195200331840611,12,4,0.4,0.8
"59",0.12360058335895,14,4,0.4,0.8
"60",0.150378112600956,16,4,0.4,0.8
