"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.325066858621748,10,0,0.4,0.6
"2",0.329250367374053,12,0,0.4,0.6
"3",0.334394146291004,14,0,0.4,0.6
"4",0.315378566369039,16,0,0.4,0.6
"5",0.3596586107231,10,2,0.4,0.6
"6",0.315722957978813,12,2,0.4,0.6
"7",0.308401976775907,14,2,0.4,0.6
"8",0.374293849344409,16,2,0.4,0.6
"9",0.338839815226404,10,4,0.4,0.6
"10",0.290087574726844,12,4,0.4,0.6
"11",0.350118970032517,14,4,0.4,0.6
"12",0.387655754545009,16,4,0.4,0.6
"13",0.365804699438866,10,6,0.4,0.6
"14",0.324926894856769,12,6,0.4,0.6
"15",0.28558309615886,14,6,0.4,0.6
"16",0.299318895204302,16,6,0.4,0.6
"17",0.320640776067523,10,0,0.6,0.6
"18",0.341906308217663,12,0,0.6,0.6
"19",0.318561916022353,14,0,0.6,0.6
"20",0.339481246509393,16,0,0.6,0.6
"21",0.333909468131023,10,2,0.6,0.6
"22",0.310986619998159,12,2,0.6,0.6
"23",0.335713431872316,14,2,0.6,0.6
"24",0.312357278141912,16,2,0.6,0.6
"25",0.358697188699361,10,4,0.6,0.6
"26",0.294257575036449,12,4,0.6,0.6
"27",0.302858748838565,14,4,0.6,0.6
"28",0.306580793632682,16,4,0.6,0.6
"29",0.322781390195204,10,6,0.6,0.6
"30",0.315256121787362,12,6,0.6,0.6
"31",0.337048409653457,14,6,0.6,0.6
"32",0.339504717182708,16,6,0.6,0.6
"33",0.347379871565015,10,0,0.8,0.6
"34",0.332525784155812,12,0,0.8,0.6
"35",0.313440206507561,14,0,0.8,0.6
"36",0.339487526502438,16,0,0.8,0.6
"37",0.352811002049349,10,2,0.8,0.6
"38",0.328866832054481,12,2,0.8,0.6
"39",0.34164416460845,14,2,0.8,0.6
"40",0.347879727372306,16,2,0.8,0.6
"41",0.335102020096073,10,4,0.8,0.6
"42",0.308455019539169,12,4,0.8,0.6
"43",0.336168110259299,14,4,0.8,0.6
"44",0.322369227249848,16,4,0.8,0.6
"45",0.336332165365758,10,6,0.8,0.6
"46",0.316765961374284,12,6,0.8,0.6
"47",0.346275215701169,14,6,0.8,0.6
"48",0.28925333310574,16,6,0.8,0.6
"49",0.376236171490339,10,0,0.4,0.8
"50",0.309282205774024,12,0,0.4,0.8
"51",0.308074908533945,14,0,0.4,0.8
"52",0.329109687814894,16,0,0.4,0.8
"53",0.312055106279051,10,2,0.4,0.8
"54",0.303141891731927,12,2,0.4,0.8
"55",0.287218528722201,14,2,0.4,0.8
"56",0.344478179291362,16,2,0.4,0.8
"57",0.331857430898745,10,4,0.4,0.8
"58",0.353086589152955,12,4,0.4,0.8
"59",0.339719025317033,14,4,0.4,0.8
"60",0.255155755595441,16,4,0.4,0.8
"61",0.347687933304766,10,6,0.4,0.8
"62",0.29299154765303,12,6,0.4,0.8
"63",0.32479209296447,14,6,0.4,0.8
"64",0.311817045519509,16,6,0.4,0.8
"65",0.320235875604076,10,0,0.6,0.8
"66",0.355718146807753,12,0,0.6,0.8
"67",0.323867899202522,14,0,0.6,0.8
"68",0.24154269679592,16,0,0.6,0.8
"69",0.315614921746686,10,2,0.6,0.8
"70",0.306068661299265,12,2,0.6,0.8
"71",0.274298098816981,14,2,0.6,0.8
"72",0.321350191112946,16,2,0.6,0.8
"73",0.320647923266108,10,4,0.6,0.8
"74",0.250982721408247,12,4,0.6,0.8
"75",0.300208126212135,14,4,0.6,0.8
"76",0.296179306900029,16,4,0.6,0.8
"77",0.32661319333179,10,6,0.6,0.8
"78",0.363408255124279,12,6,0.6,0.8
"79",0.319762488850344,14,6,0.6,0.8
"80",0.274997834452324,16,6,0.6,0.8
"81",0.321440646599281,10,0,0.8,0.8
"82",0.347443665896051,12,0,0.8,0.8
"83",0.347028795451142,14,0,0.8,0.8
"84",0.298007040522778,16,0,0.8,0.8
"85",0.340316403588409,10,2,0.8,0.8
"86",0.278524665588258,12,2,0.8,0.8
"87",0.286584260978538,14,2,0.8,0.8
"88",0.302546255910908,16,2,0.8,0.8
"89",0.333931547855098,10,4,0.8,0.8
"90",0.361267653326547,12,4,0.8,0.8
"91",0.28075369196017,14,4,0.8,0.8
"92",0.322641740515333,16,4,0.8,0.8
"93",0.307701461976291,10,6,0.8,0.8
"94",0.322909348746616,12,6,0.8,0.8
"95",0.311470320141475,14,6,0.8,0.8
"96",0.311069859508983,16,6,0.8,0.8
"97",0.355511824325199,10,0,0.4,1
"98",0.287506194206838,12,0,0.4,1
"99",0.256857283438967,14,0,0.4,1
"100",0.297811604017602,16,0,0.4,1
"101",0.346879075757172,10,2,0.4,1
"102",0.276470405887926,12,2,0.4,1
"103",0.307715753787488,14,2,0.4,1
"104",0.296911677981269,16,2,0.4,1
"105",0.272250878178465,10,4,0.4,1
"106",0.311238809521147,12,4,0.4,1
"107",0.293503863542766,14,4,0.4,1
"108",0.266462469490537,16,4,0.4,1
"109",0.281988550412286,10,6,0.4,1
"110",0.255042708922019,12,6,0.4,1
"111",0.308869419750951,14,6,0.4,1
"112",0.301450077804643,16,6,0.4,1
"113",0.32587419422845,10,0,0.6,1
"114",0.265789507510498,12,0,0.6,1
"115",0.311529219811298,14,0,0.6,1
"116",0.27991322431104,16,0,0.6,1
"117",0.316263168309529,10,2,0.6,1
"118",0.305194794239377,12,2,0.6,1
