"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.289628546316623,10,0,0.4,0.6
"2",0.305408014801842,12,0,0.4,0.6
"3",0.281468539293282,14,0,0.4,0.6
"4",0.254461570090491,16,0,0.4,0.6
"5",0.332821071824313,10,2,0.4,0.6
"6",0.333954565803373,12,2,0.4,0.6
"7",0.303418187579531,14,2,0.4,0.6
"8",0.266434581711537,16,2,0.4,0.6
"9",0.366869884882885,10,4,0.4,0.6
"10",0.289636979047662,12,4,0.4,0.6
"11",0.296841052973666,14,4,0.4,0.6
"12",0.281258203692579,16,4,0.4,0.6
"13",0.277249773328843,10,6,0.4,0.6
"14",0.328688718018251,12,6,0.4,0.6
"15",0.29523030622233,14,6,0.4,0.6
"16",0.261561748605776,16,6,0.4,0.6
"17",0.285554983837069,10,0,0.6,0.6
"18",0.243894036099408,12,0,0.6,0.6
"19",0.31193854928325,14,0,0.6,0.6
"20",0.283969579212384,16,0,0.6,0.6
"21",0.315843040733809,10,2,0.6,0.6
"22",0.256975028160419,12,2,0.6,0.6
"23",0.270510877833823,14,2,0.6,0.6
"24",0.30192267540899,16,2,0.6,0.6
"25",0.293595068872364,10,4,0.6,0.6
"26",0.343390618298268,12,4,0.6,0.6
"27",0.28257866913515,14,4,0.6,0.6
"28",0.271810035522871,16,4,0.6,0.6
"29",0.289184636690045,10,6,0.6,0.6
"30",0.251931407058151,12,6,0.6,0.6
"31",0.29315174428355,14,6,0.6,0.6
"32",0.288657944943516,16,6,0.6,0.6
"33",0.303694962978057,10,0,0.8,0.6
"34",0.349053773204221,12,0,0.8,0.6
"35",0.335827224763392,14,0,0.8,0.6
"36",0.293672907734444,16,0,0.8,0.6
"37",0.300490977866706,10,2,0.8,0.6
"38",0.296388901889313,12,2,0.8,0.6
"39",0.300551296552423,14,2,0.8,0.6
"40",0.272157271518473,16,2,0.8,0.6
"41",0.288367493952516,10,4,0.8,0.6
"42",0.310060555615267,12,4,0.8,0.6
"43",0.350661764591229,14,4,0.8,0.6
"44",0.285536051251824,16,4,0.8,0.6
"45",0.325465713591472,10,6,0.8,0.6
"46",0.262221954808625,12,6,0.8,0.6
"47",0.272417174351803,14,6,0.8,0.6
"48",0.309069608916048,16,6,0.8,0.6
"49",0.278585072018207,10,0,0.4,0.8
"50",0.223633722356685,12,0,0.4,0.8
"51",0.242199734676902,14,0,0.4,0.8
"52",0.250530131414282,16,0,0.4,0.8
"53",0.268414454155478,10,2,0.4,0.8
"54",0.265023607259351,12,2,0.4,0.8
"55",0.223363299465306,14,2,0.4,0.8
"56",0.253787967040725,16,2,0.4,0.8
"57",0.26056467490408,10,4,0.4,0.8
"58",0.261997520566206,12,4,0.4,0.8
"59",0.28440873259689,14,4,0.4,0.8
"60",0.232540598086701,16,4,0.4,0.8
"61",0.271678063690446,10,6,0.4,0.8
"62",0.238892208224066,12,6,0.4,0.8
"63",0.274926509765467,14,6,0.4,0.8
"64",0.237026140546535,16,6,0.4,0.8
"65",0.273129033431332,10,0,0.6,0.8
"66",0.271460641557312,12,0,0.6,0.8
"67",0.315417172901633,14,0,0.6,0.8
"68",0.236862771618677,16,0,0.6,0.8
"69",0.248759058770677,10,2,0.6,0.8
"70",0.304894448668035,12,2,0.6,0.8
"71",0.299269320978985,14,2,0.6,0.8
"72",0.265084723027819,16,2,0.6,0.8
"73",0.299594013349404,10,4,0.6,0.8
"74",0.278983812925826,12,4,0.6,0.8
"75",0.308617273145244,14,4,0.6,0.8
"76",0.251203067165173,16,4,0.6,0.8
"77",0.251228360125605,10,6,0.6,0.8
"78",0.29966704488753,12,6,0.6,0.8
"79",0.296357774314945,14,6,0.6,0.8
"80",0.259064949694214,16,6,0.6,0.8
"81",0.283168471043808,10,0,0.8,0.8
"82",0.268089854341572,12,0,0.8,0.8
"83",0.279603387467705,14,0,0.8,0.8
"84",0.25510508108433,16,0,0.8,0.8
"85",0.216145152740168,10,2,0.8,0.8
"86",0.267191277690148,12,2,0.8,0.8
"87",0.227244799579841,14,2,0.8,0.8
"88",0.25138717525561,16,2,0.8,0.8
"89",0.280787783276215,10,4,0.8,0.8
"90",0.24713570715514,12,4,0.8,0.8
"91",0.250573325016577,14,4,0.8,0.8
"92",0.265414934227718,16,4,0.8,0.8
"93",0.263672969163777,10,6,0.8,0.8
"94",0.285801885096079,12,6,0.8,0.8
"95",0.250620921654377,14,6,0.8,0.8
"96",0.266279735104403,16,6,0.8,0.8
"97",0.246726557510835,10,0,0.4,1
"98",0.270043266208901,12,0,0.4,1
"99",0.222476265365157,14,0,0.4,1
"100",0.292476392586908,16,0,0.4,1
"101",0.225604816634259,10,2,0.4,1
"102",0.242187007818376,12,2,0.4,1
"103",0.187283478553285,14,2,0.4,1
"104",0.222737417416384,16,2,0.4,1
"105",0.2791744390172,10,4,0.4,1
"106",0.289516243532281,12,4,0.4,1
"107",0.251481087734248,14,4,0.4,1
"108",0.286467813485303,16,4,0.4,1
"109",0.167928183726115,10,6,0.4,1
"110",0.269617740061024,12,6,0.4,1
"111",0.224895847196267,14,6,0.4,1
"112",0.259138800790005,16,6,0.4,1
"113",0.242150480107061,10,0,0.6,1
"114",0.255354327786994,12,0,0.6,1
"115",0.241454378213571,14,0,0.6,1
"116",0.272055453658045,16,0,0.6,1
"117",0.284942351992026,10,2,0.6,1
"118",0.201187876090534,12,2,0.6,1
"119",0.236904020883051,14,2,0.6,1
"120",0.251216982600591,16,2,0.6,1
"121",0.245324110832134,10,4,0.6,1
"122",0.255671213119451,12,4,0.6,1
"123",0.263266557614629,14,4,0.6,1
"124",0.266813861815951,16,4,0.6,1
"125",0.253590720778719,10,6,0.6,1
"126",0.233880275834,12,6,0.6,1
"127",0.22150316138503,14,6,0.6,1
"128",0.216841895581638,16,6,0.6,1
"129",0.218389967546486,10,0,0.8,1
"130",0.224126700188837,12,0,0.8,1
"131",0.182727583103468,14,0,0.8,1
"132",0.216521307651055,16,0,0.8,1
"133",0.198392803303449,10,2,0.8,1
"134",0.251896719616532,12,2,0.8,1
"135",0.233807415914292,14,2,0.8,1
"136",0.196408046261654,16,2,0.8,1
"137",0.215660566718371,10,4,0.8,1
"138",0.241092475742693,12,4,0.8,1
"139",0.256579685860083,14,4,0.8,1
"140",0.205640452292063,16,4,0.8,1
"141",0.256913264025965,10,6,0.8,1
"142",0.208572364510753,12,6,0.8,1
"143",0.211713638963387,14,6,0.8,1
"144",0.219445522304587,16,6,0.8,1
