"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.216088950322541,10,0,0.4,0.6
"2",0.176148160359642,12,0,0.4,0.6
"3",0.197970326120198,14,0,0.4,0.6
"4",0.174029039736339,16,0,0.4,0.6
"5",0.234500480468945,10,2,0.4,0.6
"6",0.251552399417939,12,2,0.4,0.6
"7",0.187574805140081,14,2,0.4,0.6
"8",0.207967490038346,16,2,0.4,0.6
"9",0.300801837889166,10,4,0.4,0.6
"10",0.229384209832813,12,4,0.4,0.6
"11",0.189106968096654,14,4,0.4,0.6
"12",0.175033750164702,16,4,0.4,0.6
"13",0.265400396889032,10,6,0.4,0.6
"14",0.229374347788883,12,6,0.4,0.6
"15",0.194397683463404,14,6,0.4,0.6
"16",0.29441277188965,16,6,0.4,0.6
"17",0.275616443994365,10,0,0.6,0.6
"18",0.270493175829042,12,0,0.6,0.6
"19",0.205945037376236,14,0,0.6,0.6
"20",0.248445288339096,16,0,0.6,0.6
"21",0.227552150588038,10,2,0.6,0.6
"22",0.251327366114409,12,2,0.6,0.6
"23",0.250164123921079,14,2,0.6,0.6
"24",0.270489310509829,16,2,0.6,0.6
"25",0.26053756759579,10,4,0.6,0.6
"26",0.250651627097226,12,4,0.6,0.6
"27",0.24305802659179,14,4,0.6,0.6
"28",0.208397266849471,16,4,0.6,0.6
"29",0.240582990582329,10,6,0.6,0.6
"30",0.224180208251547,12,6,0.6,0.6
"31",0.24651743137053,14,6,0.6,0.6
"32",0.209971078554895,16,6,0.6,0.6
"33",0.277955624015413,10,0,0.8,0.6
"34",0.242891864814698,12,0,0.8,0.6
"35",0.202872896494082,14,0,0.8,0.6
"36",0.209465617659217,16,0,0.8,0.6
"37",0.239835351537489,10,2,0.8,0.6
"38",0.21113152176184,12,2,0.8,0.6
"39",0.227504008891407,14,2,0.8,0.6
"40",0.238984877213884,16,2,0.8,0.6
"41",0.223017952023433,10,4,0.8,0.6
"42",0.255198424278299,12,4,0.8,0.6
"43",0.269020313719947,14,4,0.8,0.6
"44",0.181934325395073,16,4,0.8,0.6
"45",0.262520685113284,10,6,0.8,0.6
"46",0.211834502261073,12,6,0.8,0.6
"47",0.228461400062685,14,6,0.8,0.6
"48",0.223563551984378,16,6,0.8,0.6
"49",0.224297119593408,10,0,0.4,0.8
"50",0.251879477719375,12,0,0.4,0.8
"51",0.226940248286112,14,0,0.4,0.8
"52",0.172040188389444,16,0,0.4,0.8
"53",0.184232052607155,10,2,0.4,0.8
"54",0.143902168555075,12,2,0.4,0.8
"55",0.147980621979815,14,2,0.4,0.8
"56",0.190528595134303,16,2,0.4,0.8
"57",0.224009471279813,10,4,0.4,0.8
"58",0.188968647477142,12,4,0.4,0.8
"59",0.224098941559603,14,4,0.4,0.8
"60",0.185859509226711,16,4,0.4,0.8
"61",0.201305138411281,10,6,0.4,0.8
"62",0.186031570503973,12,6,0.4,0.8
"63",0.25713377438119,14,6,0.4,0.8
"64",0.211805358098895,16,6,0.4,0.8
"65",0.241338717193482,10,0,0.6,0.8
"66",0.185266887809859,12,0,0.6,0.8
"67",0.219324265783003,14,0,0.6,0.8
"68",0.215524077840968,16,0,0.6,0.8
"69",0.200851639774056,10,2,0.6,0.8
"70",0.238673583891421,12,2,0.6,0.8
"71",0.203388915550835,14,2,0.6,0.8
"72",0.250540763572977,16,2,0.6,0.8
"73",0.234476475558809,10,4,0.6,0.8
"74",0.192601011468537,12,4,0.6,0.8
"75",0.16980595119692,14,4,0.6,0.8
"76",0.211066936350839,16,4,0.6,0.8
"77",0.189725109290923,10,6,0.6,0.8
"78",0.175685333241203,12,6,0.6,0.8
"79",0.22314610750806,14,6,0.6,0.8
"80",0.247537864583422,16,6,0.6,0.8
"81",0.235764660430358,10,0,0.8,0.8
"82",0.209034122352514,12,0,0.8,0.8
"83",0.204888855307394,14,0,0.8,0.8
"84",0.247410546678103,16,0,0.8,0.8
"85",0.241682330843044,10,2,0.8,0.8
"86",0.217099461221738,12,2,0.8,0.8
"87",0.224510388747267,14,2,0.8,0.8
"88",0.216382009099339,16,2,0.8,0.8
"89",0.24942218408445,10,4,0.8,0.8
"90",0.249169468358954,12,4,0.8,0.8
"91",0.185551362716249,14,4,0.8,0.8
"92",0.214805720609416,16,4,0.8,0.8
"93",0.217057699764205,10,6,0.8,0.8
"94",0.24119159920655,12,6,0.8,0.8
"95",0.23738461363314,14,6,0.8,0.8
"96",0.242296346536154,16,6,0.8,0.8
"97",0.158324699727729,10,0,0.4,1
"98",0.174383938091612,12,0,0.4,1
"99",0.125154551668522,14,0,0.4,1
"100",0.174798212536493,16,0,0.4,1
"101",0.111531869586926,10,2,0.4,1
"102",0.152205183447734,12,2,0.4,1
"103",0.231914988848805,14,2,0.4,1
"104",0.246565781083928,16,2,0.4,1
"105",0.174606333802624,10,4,0.4,1
"106",0.160117513173591,12,4,0.4,1
"107",0.160661043193901,14,4,0.4,1
"108",0.227412528900769,16,4,0.4,1
"109",0.218034222384585,10,6,0.4,1
"110",0.163491496334835,12,6,0.4,1
"111",0.18398123126327,14,6,0.4,1
"112",0.228387568614096,16,6,0.4,1
"113",0.248260223059798,10,0,0.6,1
"114",0.206285067522201,12,0,0.6,1
"115",0.176061797392818,14,0,0.6,1
"116",0.19348890791099,16,0,0.6,1
"117",0.261314626460534,10,2,0.6,1
"118",0.191330212784367,12,2,0.6,1
"119",0.215071602828635,14,2,0.6,1
"120",0.215477753303585,16,2,0.6,1
"121",0.204140112601418,10,4,0.6,1
"122",0.167177955758364,12,4,0.6,1
"123",0.172898589576025,14,4,0.6,1
"124",0.195211176694641,16,4,0.6,1
"125",0.249617557039616,10,6,0.6,1
"126",0.20312499927739,12,6,0.6,1
"127",0.190864477646912,14,6,0.6,1
"128",0.22881629512011,16,6,0.6,1
"129",0.238457522615105,10,0,0.8,1
"130",0.182014426598507,12,0,0.8,1
"131",0.202261074889276,14,0,0.8,1
"132",0.229084663021095,16,0,0.8,1
"133",0.214540930466614,10,2,0.8,1
"134",0.182434268201133,12,2,0.8,1
"135",0.165622068352271,14,2,0.8,1
"136",0.192237939119519,16,2,0.8,1
"137",0.215815272685091,10,4,0.8,1
"138",0.192666314279726,12,4,0.8,1
"139",0.171956752991007,14,4,0.8,1
"140",0.195684914263934,16,4,0.8,1
"141",0.219218427805706,10,6,0.8,1
"142",0.246311531775335,12,6,0.8,1
"143",0.215170222445254,14,6,0.8,1
"144",0.211335652204263,16,6,0.8,1
