"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.0865947363739956,10,0,0.4,0.6
"2",0.0520225051489782,12,0,0.4,0.6
"3",0.0770429251161997,14,0,0.4,0.6
"4",0.0842407499529948,16,0,0.4,0.6
"5",0.0404796098125597,10,2,0.4,0.6
"6",0.0799078147590628,12,2,0.4,0.6
"7",0.0519873985971009,14,2,0.4,0.6
"8",0.0700837627732224,16,2,0.4,0.6
"9",0.0385378641954581,10,4,0.4,0.6
"10",0.0585712614764964,12,4,0.4,0.6
"11",0.0615705657854297,14,4,0.4,0.6
"12",0.0468970774026768,16,4,0.4,0.6
"13",0.0897312685009327,10,6,0.4,0.6
"14",0.080936634086362,12,6,0.4,0.6
"15",0.081234246920058,14,6,0.4,0.6
"16",0.0849530770951417,16,6,0.4,0.6
"17",0.100072054083394,10,0,0.6,0.6
"18",0.0357773194819424,12,0,0.6,0.6
"19",0.0819074003597178,14,0,0.6,0.6
"20",0.0189293794140893,16,0,0.6,0.6
"21",0.035021608425735,10,2,0.6,0.6
"22",0.0237402494899231,12,2,0.6,0.6
"23",0.0455574558512068,14,2,0.6,0.6
"24",0.0849595321332802,16,2,0.6,0.6
"25",0.0464912727422057,10,4,0.6,0.6
"26",0.0471977119239135,12,4,0.6,0.6
"27",0.0536797048777623,14,4,0.6,0.6
"28",0.058244697944434,16,4,0.6,0.6
"29",0.0362021446142646,10,6,0.6,0.6
"30",0.0370569398957196,12,6,0.6,0.6
"31",0.0679706462772642,14,6,0.6,0.6
"32",0.0810203838992962,16,6,0.6,0.6
"33",0.0601272904443172,10,0,0.8,0.6
"34",0.0887349162376582,12,0,0.8,0.6
"35",0.0644150470714682,14,0,0.8,0.6
"36",0.0416522756002096,16,0,0.8,0.6
"37",0.0119097385648293,10,2,0.8,0.6
"38",0.0628696737950634,12,2,0.8,0.6
"39",0.0687281816230074,14,2,0.8,0.6
"40",0.0501321400930727,16,2,0.8,0.6
"41",0.0256967272935672,10,4,0.8,0.6
"42",0.0183988526884652,12,4,0.8,0.6
"43",0.0813204023401679,14,4,0.8,0.6
"44",0.0366749191116453,16,4,0.8,0.6
"45",0.0326950723612692,10,6,0.8,0.6
"46",0.0859786885078195,12,6,0.8,0.6
"47",0.0383444040154378,14,6,0.8,0.6
"48",0.0351368896032474,16,6,0.8,0.6
"49",0.019841459109842,10,0,0.4,0.8
"50",0.0669742236655643,12,0,0.4,0.8
"51",0.105018834554522,14,0,0.4,0.8
"52",0.0119915000911628,16,0,0.4,0.8
"53",0.0482269643831805,10,2,0.4,0.8
"54",0.0722767611772449,12,2,0.4,0.8
"55",0.0728656564744073,14,2,0.4,0.8
"56",0.107470246537034,16,2,0.4,0.8
"57",0.0289250894185387,10,4,0.4,0.8
"58",0.107880344711199,12,4,0.4,0.8
"59",0.0603057799975575,14,4,0.4,0.8
"60",0.104125775552671,16,4,0.4,0.8
"61",0.0534557125302881,10,6,0.4,0.8
"62",0.0710230319359227,12,6,0.4,0.8
"63",0.0939613661382804,14,6,0.4,0.8
"64",0.0944179031250789,16,6,0.4,0.8
"65",0.0639519598546517,10,0,0.6,0.8
"66",0.117167492970235,12,0,0.6,0.8
"67",0.0393932184753536,14,0,0.6,0.8
"68",0.119829188022987,16,0,0.6,0.8
"69",0.0275851855389841,10,2,0.6,0.8
"70",0.107139106876463,12,2,0.6,0.8
"71",0.0802480076361537,14,2,0.6,0.8
"72",0.0904886850181255,16,2,0.6,0.8
"73",0.0613195383563667,10,4,0.6,0.8
"74",0.0796538759143682,12,4,0.6,0.8
"75",0.0624818272556768,14,4,0.6,0.8
"76",0.100923913830328,16,4,0.6,0.8
"77",0.0826694228086157,10,6,0.6,0.8
"78",0.0557910960233602,12,6,0.6,0.8
"79",0.082487055063306,14,6,0.6,0.8
"80",0.0595411783767606,16,6,0.6,0.8
"81",0.0878283743353449,10,0,0.8,0.8
"82",0.100339568459315,12,0,0.8,0.8
"83",0.0452728312330234,14,0,0.8,0.8
"84",0.118291383523515,16,0,0.8,0.8
"85",0.0475080464317886,10,2,0.8,0.8
"86",0.0725445010423,12,2,0.8,0.8
"87",0.0562277587827567,14,2,0.8,0.8
"88",0.0813743743157852,16,2,0.8,0.8
"89",0.0515336603993973,10,4,0.8,0.8
"90",0.138690716203584,12,4,0.8,0.8
"91",0.0751844039779425,14,4,0.8,0.8
"92",0.0690710406179375,16,4,0.8,0.8
"93",0.0296580828897174,10,6,0.8,0.8
"94",0.0543031612536761,12,6,0.8,0.8
"95",0.0907559699154408,14,6,0.8,0.8
"96",0.108013535464915,16,6,0.8,0.8
"97",0.0478797651202633,10,0,0.4,1
"98",0.171259038570169,12,0,0.4,1
"99",0.106323893237245,14,0,0.4,1
"100",0.155117387369619,16,0,0.4,1
"101",0.0567942494816549,10,2,0.4,1
"102",0.100091002897626,12,2,0.4,1
"103",0.158829836624777,14,2,0.4,1
"104",0.149270009817584,16,2,0.4,1
"105",0.0849810990825846,10,4,0.4,1
"106",0.130665051626166,12,4,0.4,1
"107",0.119773484797016,14,4,0.4,1
"108",0.161099952675885,16,4,0.4,1
"109",0.087555877869666,10,6,0.4,1
"110",0.124759765266712,12,6,0.4,1
"111",0.115192347473496,14,6,0.4,1
"112",0.140194848364942,16,6,0.4,1
"113",0.0498855096995814,10,0,0.6,1
"114",0.10618354844704,12,0,0.6,1
"115",0.0886318995731749,14,0,0.6,1
"116",0.107167328117595,16,0,0.6,1
"117",0.072596417328819,10,2,0.6,1
"118",0.110236955200624,12,2,0.6,1
"119",0.110528766435223,14,2,0.6,1
"120",0.0775008397142046,16,2,0.6,1
"121",0.135978151210359,10,4,0.6,1
"122",0.0907223942303863,12,4,0.6,1
"123",0.124496731243109,14,4,0.6,1
"124",0.129632786702546,16,4,0.6,1
"125",0.0632019169181344,10,6,0.6,1
"126",0.139562233826912,12,6,0.6,1
"127",0.0522977005693637,14,6,0.6,1
"128",0.0943483297428875,16,6,0.6,1
"129",0.114593211590324,10,0,0.8,1
"130",0.111299304861672,12,0,0.8,1
"131",0.127521555215897,14,0,0.8,1
"132",0.0751121139284513,16,0,0.8,1
"133",0.125164444581419,10,2,0.8,1
"134",0.113371941917505,12,2,0.8,1
"135",0.106901251765979,14,2,0.8,1
"136",0.0536060859398808,16,2,0.8,1
"137",0.0671562544216205,10,4,0.8,1
"138",0.0696763034202683,12,4,0.8,1
"139",0.0772813715018165,14,4,0.8,1
"140",0.0904061530853942,16,4,0.8,1
"141",0.14409492138607,10,6,0.8,1
"142",0.110750388670867,12,6,0.8,1
"143",0.0785774306090913,14,6,0.8,1
"144",0.0769634810518387,16,6,0.8,1
