"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.0357173645411733,10,0,0.4,0.6
"2",0.0527188418200571,12,0,0.4,0.6
"3",0.0246247977131996,14,0,0.4,0.6
"4",0.0291868756458459,16,0,0.4,0.6
"5",0.100154089208123,10,2,0.4,0.6
"6",0.0618092177007725,12,2,0.4,0.6
"7",0.0565931853307998,14,2,0.4,0.6
"8",0.060611721481987,16,2,0.4,0.6
"9",0.0933567226572183,10,4,0.4,0.6
"10",0.0589980722636642,12,4,0.4,0.6
"11",0.0263995227632391,14,4,0.4,0.6
"12",0.00981205627792172,16,4,0.4,0.6
"13",0.0511227521223957,10,6,0.4,0.6
"14",0.0438755596059882,12,6,0.4,0.6
"15",0.054432065196104,14,6,0.4,0.6
"16",0.0505022565700277,16,6,0.4,0.6
"17",0.0375403681699906,10,0,0.6,0.6
"18",0.071034360484258,12,0,0.6,0.6
"19",0.0171600193345705,14,0,0.6,0.6
"20",0.0257924617437941,16,0,0.6,0.6
"21",0.0126765416897924,10,2,0.6,0.6
"22",0.0152713386112232,12,2,0.6,0.6
"23",0.0222116442101008,14,2,0.6,0.6
"24",0.0312203825215154,16,2,0.6,0.6
"25",0.0693138687846612,10,4,0.6,0.6
"26",0.0370617542896941,12,4,0.6,0.6
"27",0.0596773396527226,14,4,0.6,0.6
"28",0.0536926644205161,16,4,0.6,0.6
"29",0.0701877831866997,10,6,0.6,0.6
"30",0.0687000204778621,12,6,0.6,0.6
"31",0.0535649808948148,14,6,0.6,0.6
"32",0.0239213071284403,16,6,0.6,0.6
"33",0.0563567265503434,10,0,0.8,0.6
"34",0.0227178859603705,12,0,0.8,0.6
"35",0.00736446289141115,14,0,0.8,0.6
"36",0.0422176389018487,16,0,0.8,0.6
"37",0.0168064298852923,10,2,0.8,0.6
"38",0.0398751597447184,12,2,0.8,0.6
"39",0.0485595352541104,14,2,0.8,0.6
"40",0.00221757408832539,16,2,0.8,0.6
"41",0.0677613473680265,10,4,0.8,0.6
"42",0.0413606818624548,12,4,0.8,0.6
"43",0.0327723927789221,14,4,0.8,0.6
"44",0.00784465711613581,16,4,0.8,0.6
"45",0.0485706267150852,10,6,0.8,0.6
"46",0.00210548234038266,12,6,0.8,0.6
"47",0.0495869918663541,14,6,0.8,0.6
"48",0.0425621183793474,16,6,0.8,0.6
"49",0.0167986899503517,10,0,0.4,0.8
"50",0.0981460671683302,12,0,0.4,0.8
"51",0.0277299691341382,14,0,0.4,0.8
"52",0.00792730270414422,16,0,0.4,0.8
"53",0.0276084992698392,10,2,0.4,0.8
"54",0.0612500508372988,12,2,0.4,0.8
