"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.0960084800860505,10,0,0.4,0.6
"2",0.0456429616905493,12,0,0.4,0.6
"3",0.136519924634132,14,0,0.4,0.6
"4",0.108951102198177,16,0,0.4,0.6
"5",0.167899309792764,10,2,0.4,0.6
"6",0.135250802325763,12,2,0.4,0.6
"7",0.121378455827085,14,2,0.4,0.6
"8",0.0763009974002413,16,2,0.4,0.6
"9",0.0851520363006938,10,4,0.4,0.6
"10",0.132953791948299,12,4,0.4,0.6
"11",0.12554892186861,14,4,0.4,0.6
"12",0.166919093516011,16,4,0.4,0.6
"13",0.139066377638479,10,6,0.4,0.6
"14",0.089891216064,12,6,0.4,0.6
"15",0.112066323277975,14,6,0.4,0.6
"16",0.075994731584959,16,6,0.4,0.6
"17",0.139747865166042,10,0,0.6,0.6
"18",0.117231290899982,12,0,0.6,0.6
"19",0.172082705140292,14,0,0.6,0.6
"20",0.15718551450554,16,0,0.6,0.6
"21",0.159363134014664,10,2,0.6,0.6
"22",0.152769132276223,12,2,0.6,0.6
"23",0.12671382944701,14,2,0.6,0.6
"24",0.143646704718731,16,2,0.6,0.6
"25",0.075088689409504,10,4,0.6,0.6
"26",0.182940564238335,12,4,0.6,0.6
"27",0.0895123518092963,14,4,0.6,0.6
"28",0.175982541802015,16,4,0.6,0.6
"29",0.0981943345064862,10,6,0.6,0.6
"30",0.144772659403714,12,6,0.6,0.6
"31",0.132820723552912,14,6,0.6,0.6
"32",0.180784273207949,16,6,0.6,0.6
"33",0.137848218797213,10,0,0.8,0.6
"34",0.144006025447148,12,0,0.8,0.6
"35",0.201085136148916,14,0,0.8,0.6
"36",0.170582509845563,16,0,0.8,0.6
"37",0.161239533522097,10,2,0.8,0.6
"38",0.158546018234918,12,2,0.8,0.6
"39",0.151739780283803,14,2,0.8,0.6
"40",0.149804136888314,16,2,0.8,0.6
"41",0.143942002726205,10,4,0.8,0.6
"42",0.175048601344108,12,4,0.8,0.6
"43",0.16602747700861,14,4,0.8,0.6
"44",0.170874108818999,16,4,0.8,0.6
"45",0.152505945837112,10,6,0.8,0.6
