"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.0499803040035587,10,0,0.4,0.6
"2",0.0381799605244187,12,0,0.4,0.6
"3",0.00878539422146095,14,0,0.4,0.6
"4",0.0399044174338042,16,0,0.4,0.6
"5",0.0291224644238182,10,2,0.4,0.6
"6",0.00458154448824565,12,2,0.4,0.6
"7",0.0501594485180218,14,2,0.4,0.6
"8",0.0144963575930853,16,2,0.4,0.6
"9",0.0719762570020615,10,4,0.4,0.6
"10",0.104653839613204,12,4,0.4,0.6
"11",0.0433474557800789,14,4,0.4,0.6
"12",0.04638244630676,16,4,0.4,0.6
"13",0.0440561830322541,10,6,0.4,0.6
"14",0.032348871846061,12,6,0.4,0.6
"15",0.0394652886631573,14,6,0.4,0.6
"16",0.0223021720089204,16,6,0.4,0.6
"17",0.00714781612810689,10,0,0.6,0.6
"18",0.00550590357196215,12,0,0.6,0.6
"19",0.0196687634821736,14,0,0.6,0.6
"20",0.0669249000026807,16,0,0.6,0.6
"21",0.0190682854517062,10,2,0.6,0.6
"22",0.0119689339905699,12,2,0.6,0.6
"23",0.0350101717356079,14,2,0.6,0.6
"24",0.0382805898276855,16,2,0.6,0.6
"25",0.0476451907361922,10,4,0.6,0.6
"26",0.0134616174544035,12,4,0.6,0.6
"27",0.0213294215289599,14,4,0.6,0.6
"28",0.030439345766264,16,4,0.6,0.6
"29",0.00315774557059976,10,6,0.6,0.6
"30",0.011925150975479,12,6,0.6,0.6
"31",0.0103223116325692,14,6,0.6,0.6
"32",0.0484041773761174,16,6,0.6,0.6
"33",0.0343367024610044,10,0,0.8,0.6
"34",0.117063787289896,12,0,0.8,0.6
"35",0.0218612307735174,14,0,0.8,0.6
"36",0.0785435163991239,16,0,0.8,0.6
"37",0.00795891422074177,10,2,0.8,0.6
"38",0.00913019303820886,12,2,0.8,0.6
"39",0.00290651710374449,14,2,0.8,0.6
"40",0.0391704262786247,16,2,0.8,0.6
"41",0.0750641278314315,10,4,0.8,0.6
"42",0.0346655931097847,12,4,0.8,0.6
"43",0.0663332414161373,14,4,0.8,0.6
"44",0.016412837685592,16,4,0.8,0.6
"45",0.0466526015056025,10,6,0.8,0.6
"46",0.00425928305244769,12,6,0.8,0.6
"47",0.00270763255590163,14,6,0.8,0.6
"48",0.00421492471026326,16,6,0.8,0.6
"49",0.000140493696419047,10,0,0.4,0.8
"50",0.0592211689167505,12,0,0.4,0.8
"51",0.0502585354204088,14,0,0.4,0.8
"52",0.0346553020017101,16,0,0.4,0.8
"53",0.00421993133953191,10,2,0.4,0.8
"54",0.000719559027774553,12,2,0.4,0.8
"55",0.020096755541805,14,2,0.4,0.8
"56",0.0243934952315679,16,2,0.4,0.8
"57",0.0605066995120216,10,4,0.4,0.8
"58",0.0195300615955157,12,4,0.4,0.8
"59",0.0196871479786913,14,4,0.4,0.8
"60",0.0808540460408596,16,4,0.4,0.8
"61",0.0332623787807954,10,6,0.4,0.8
"62",0.0673390364887568,12,6,0.4,0.8
"63",0.0167499265972671,14,6,0.4,0.8
"64",0.0842926560753368,16,6,0.4,0.8
"65",0.0455508458441876,10,0,0.6,0.8
"66",0.0237077780574971,12,0,0.6,0.8
"67",0.0053550154258473,14,0,0.6,0.8
"68",0.0151639477530544,16,0,0.6,0.8
"69",0.0233742348469357,10,2,0.6,0.8
"70",0.0356942481792242,12,2,0.6,0.8
"71",0.0678222471947806,14,2,0.6,0.8
"72",0.128308236262137,16,2,0.6,0.8
"73",0.00701197428515237,10,4,0.6,0.8
"74",0.0269351088934937,12,4,0.6,0.8
"75",0.0652132273175944,14,4,0.6,0.8
"76",0.0391201409752862,16,4,0.6,0.8
"77",0.0214257513751877,10,6,0.6,0.8
"78",0.0672559282935095,12,6,0.6,0.8
"79",0.000210333130760479,14,6,0.6,0.8
"80",0.0571623559887875,16,6,0.6,0.8
"81",0.0455863355735608,10,0,0.8,0.8
"82",0.0299581874496135,12,0,0.8,0.8
"83",0.0373529511919332,14,0,0.8,0.8
"84",0.0242098771019416,16,0,0.8,0.8
"85",0.00673058231394857,10,2,0.8,0.8
"86",0.0591051499670367,12,2,0.8,0.8
"87",0.140461396719044,14,2,0.8,0.8
"88",0.0893984938516447,16,2,0.8,0.8
"89",0.0483096226575057,10,4,0.8,0.8
"90",0.0600299914725882,12,4,0.8,0.8
"91",0.0103655857561298,14,4,0.8,0.8
"92",0.019456088787762,16,4,0.8,0.8
"93",0.118171760578883,10,6,0.8,0.8
"94",0.0628472327987461,12,6,0.8,0.8
"95",0.02646993511706,14,6,0.8,0.8
"96",0.00214427736330455,16,6,0.8,0.8
"97",0.0671411082220029,10,0,0.4,1
"98",0.018148684122626,12,0,0.4,1
"99",0.0300821560821904,14,0,0.4,1
