"Name"	"Bundesland"	"Category"	"Population density"	"GDP per inhabitant"	"Workers in Agriculture"	"GDP growth rate"	"Natality"	"Net Migration"	"Unemployment"	"Population"	"Employees"	"GDP in Tsd. 2000"
"29"	"Diepholz"	"Niedersachsen"	"County"	107	22,7	2,54	1,51	7,32	-0,034	6,36	213634	90,7	4267489
"30"	"Hameln-Pyrmont"	"Niedersachsen"	"County"	195	27,3	1,44	1,17	6,91	-0,166	10,39	155164	69,4	3824792
"31"	"Hildesheim"	"Niedersachsen"	"County"	236	21,5	0,91	1	6,97	-0,258	9,55	284551	121,1	5615842
"32"	"Holzminden"	"Niedersachsen"	"County"	107	22,7	1,32	0,27	7,25	-0,653	10,66	74094	30,2	1638356
"33"	"Nienburg (Weser)"	"Niedersachsen"	"County"	88	21,8	2,28	0,14	7,47	-0,302	8,64	122989	52,7	2653229
"34"	"Schaumburg"	"Niedersachsen"	"County"	239	18,3	0,81	0,09	6,84	-0,178	11,03	161746	61,9	2928623
"35"	"Celle"	"Niedersachsen"	"County"	116	23	1,95	0,26	7,98	-0,112	9,41	179247	76,9	4030075
"36"	"Cuxhaven"	"Niedersachsen"	"County"	97	16,7	3,07	1,45	7,31	0,063	11,35	201188	68,3	2962614
"37"	"Harburg"	"Niedersachsen"	"County"	197	17,8	2,49	2,53	7,6	0,605	7,48	245624	80,2	3552276
"38"	"Luechow-Dannenberg"	"Niedersachsen"	"County"	41	17,7	3,7	0,89	6,34	0,243	13,78	49699	18,9	816093
"39"	"Lueneburg"	"Niedersachsen"	"County"	134	20,4	1,86	1,9	8,45	0,433	8,77	177042	75,4	3090850
"40"	"Osterholz"	"Niedersachsen"	"County"	172	16,1	1,85	1,63	7,15	0,02	7,74	112029	37,8	1576900
"41"	"Rotenburg (Wuemme)"	"Niedersachsen"	"County"	79	23,5	2,69	2,71	8,1	-0,18	5,79	164064	78	3102324
"42"	"Heidekreis"	"Niedersachsen"	"County"	75	25,8	2	2,39	7,91	-0,195	8,32	140053	70	2978472
"43"	"Stade"	"Niedersachsen"	"County"	156	24,5	3,27	1,53	8,33	0,173	8,9	196952	82,5	4246258
"44"	"Uelzen"	"Niedersachsen"	"County"	65	21	3,68	1,96	6,92	0,121	9,46	94428	40,8	1683129
"45"	"Verden"	"Niedersachsen"	"County"	169	24,2	2,45	1,1	7,99	0,041	7,32	133328	57,1	2938011
"46"	"Delmenhorst"	"Niedersachsen"	"County-Level City"	1195	19,3	0,6	1,91	7,3	-0,067	11,97	74512	33,6	1226173
"47"	"Emden"	"Niedersachsen"	"County-Level City"	457	41,6	0,26	-0,62	8,5	-0,174	7,17	51292	38	2263073
"48"	"Oldenburg (Oldenburg)"	"Niedersachsen"	"County-Level City"	1567	39,6	0,28	2,45	8,82	0,759	7,36	161334	106,4	5238962
"49"	"Osnabrueck"	"Niedersachsen"	"County-Level City"	1365	37,4	0,25	-0,26	8,34	0,271	5,49	163514	117,8	6270183
"50"	"Wilhelmshaven"	"Niedersachsen"	"County-Level City"	759	34,5	0,63	0,89	6,77	0,287	9,49	81137	47,8	2593649
"51"	"Ammerland"	"Niedersachsen"	"County"	161	21,8	7,13	2,8	7,23	0,612	7,08	117517	51,9	2045054
"52"	"Aurich"	"Niedersachsen"	"County"	147	18,5	2,28	1,96	7,78	0,131	11,08	188973	74,7	2979233
"53"	"Cloppenburg"	"Niedersachsen"	"County"	111	24,9	5,56	3,44	9,99	0,077	6,57	157506	75,6	2991574
"54"	"Emsland"	"Niedersachsen"	"County"	109	31,6	1,89	3,58	8,69	-0,169	4,34	313098	164,3	7486673
"55"	"Friesland"	"Niedersachsen"	"County"	164	19,1	1,76	-0,36	7,01	-0,046	9,05	99851	39,8	1973589
"56"	"Grafschaft Bentheim"	"Niedersachsen"	"County"	138	22,7	1,74	1,75	8,62	-0,055	4,77	135346	63,3	2648892
"57"	"Leer"	"Niedersachsen"	"County"	152	23,4	2,07	4,27	8,11	0,166	9,75	164837	67,5	2780399
"58"	"Oldenburg"	"Niedersachsen"	"County"	119	17,3	3,08	1,3	7,96	0,656	8,32	126571	45,4	1956170
"59"	"Osnabrueck"	"Niedersachsen"	"County"	168	21,5	2,21	2,41	8,07	-0,166	5,93	357056	149,4	6295265
"60"	"Vechta"	"Niedersachsen"	"County"	164	30,9	3,58	3,37	9,77	0,079	3,81	134838	81,1	3198089
"61"	"Wesermarsch"	"Niedersachsen"	"County"	111	30,3	1,86	3	7,09	-0,36	9,74	91228	37,6	2175332
"62"	"Wittmund"	"Niedersachsen"	"County"	87	18,5	2,9	2,16	7,6	0,11	9,38	57391	24,1	889423
"63"	"Bremerhaven"	"Bremen"	"County-Level City"	1446	32,3	0,3	2,72	8,53	0,001	13,66	114031	67,7	2962063
"64"	"Duesseldorf"	"Nordrhein-Westfalen"	"County-Level City"	2699	70,4	0,26	2,27	9,65	0,419	5,87	586217	492,5	34243789
"65"	"Duisburg"	"Nordrhein-Westfalen"	"County-Level City"	2113	30	0,36	1,68	8,33	-0,03	13,79	491931	224,3	12803238
"66"	"Essen"	"Nordrhein-Westfalen"	"County-Level City"	2740	40,2	0,51	3,35	8,02	-0,145	10,99	576259	316,4	17823291
"67"	"Krefeld"	"Nordrhein-Westfalen"	"County-Level City"	1709	32,3	0,67	0,39	7,77	-0,026	10,15	235414	119	7347536
"68"	"Moenchengladbach"	"Nordrhein-Westfalen"	"County-Level City"	1515	26,4	0,48	1,28	8,19	0,093	12,17	258251	123,9	6108117
"69"	"Muelheim an der Ruhr"	"Nordrhein-Westfalen"	"County-Level City"	1834	33,1	0,73	3,54	7,51	0,044	8,31	167471	81,7	4209394
"70"	"Oberhausen"	"Nordrhein-Westfalen"	"County-Level City"	2776	23,7	0,44	1,72	7,32	-0,26	14,5	214024	90,5	4399070
"71"	"Remscheid"	"Nordrhein-Westfalen"	"County-Level City"	1494	28,2	0,5	-0,19	7,68	-0,761	8,32	111422	59,6	3195179
"72"	"Solingen"	"Nordrhein-Westfalen"	"County-Level City"	1799	23,6	0,43	0,93	7,72	-0,134	10,25	160992	69,2	3511284
"73"	"Wuppertal"	"Nordrhein-Westfalen"	"County-Level City"	2085	30	0,55	0,36	8,34	-0,29	12,65	351050	163,1	10192151
"74"	"Kleve"	"Nordrhein-Westfalen"	"County"	250	22,5	4,84	3,47	7,82	0,133	6,67	308090	132,3	5279366
"75"	"Mettmann"	"Nordrhein-Westfalen"	"County"	1219	32,8	0,66	2,47	7,34	-0,228	7,11	496445	241,5	13335736
"76"	"Rhein-Kreis Neuss"	"Nordrhein-Westfalen"	"County"	769	34,4	1,19	3,7	7,96	0,083	7,52	443112	193,4	11423079
"77"	"Viersen"	"Nordrhein-Westfalen"	"County"	536	23,4	2,65	1,49	7,11	0,04	7,85	301797	124,5	6236949
"78"	"Wesel"	"Nordrhein-Westfalen"	"County"	451	22,3	1,6	3,03	6,98	-0,011	9,14	470364	187,6	8247099
"79"	"Bonn"	"Nordrhein-Westfalen"	"County-Level City"	2265	70,3	0,26	3,81	9,81	0,461	5	319841	231,3	16739475
"80"	"Koeln"	"Nordrhein-Westfalen"	"County-Level City"	2463	48,2	0,21	1,69	9,87	0,227	8,21	998105	670,4	41788655
"81"	"Leverkusen"	"Nordrhein-Westfalen"	"County-Level City"	2036	37,8	0,38	-1,38	8,09	-0,22	9,94	160593	78	6921814
"84"	"Dueren"	"Nordrhein-Westfalen"	"County"	285	23	1,44	1,41	7,39	-0,047	9,2	268637	111,3	5478859
"85"	"Rhein-Erft-Kreis"	"Nordrhein-Westfalen"	"County"	659	27,5	1,15	2,48	7,98	0,201	10,24	464018	182,5	10413680
"86"	"Euskirchen"	"Nordrhein-Westfalen"	"County"	154	21,4	1,33	1,59	7,38	0,073	7,76	192088	75,3	3601262
"87"	"Heinsberg"	"Nordrhein-Westfalen"	"County"	406	18,2	1,6	2,23	7,58	-0,045	10,16	255158	94	3876531
"88"	"Oberbergischer Kreis"	"Nordrhein-Westfalen"	"County"	308	25,6	0,92	1,01	7,93	-0,482	6,97	282636	130,8	6622046
"89"	"Rheinisch-Bergischer Kreis"	"Nordrhein-Westfalen"	"County"	634	20,8	1,22	0,74	7,69	0,109	9,15	277214	106,8	5419959
"90"	"Rhein-Sieg-Kreis"	"Nordrhein-Westfalen"	"County"	519	22,5	1,75	2,54	8,08	0,119	8,17	598407	222,3	10934716
"91"	"Bottrop"	"Nordrhein-Westfalen"	"County-Level City"	1165	18,7	1,64	2,13	7,51	0,049	10,71	117241	48,9	1835860
"92"	"Gelsenkirchen"	"Nordrhein-Westfalen"	"County-Level City"	2477	26,1	0,45	1,02	8,52	-0,408	17,39	259744	110,4	6219396
"93"	"Muenster"	"Nordrhein-Westfalen"	"County-Level City"	910	52,6	0,65	1,91	9,23	0,561	4,51	275543	198,6	12358925
"94"	"Borken"	"Nordrhein-Westfalen"	"County"	260	26,4	1,96	2,42	8,75	-0,167	4,97	369666	183,6	8009830
"95"	"Coesfeld"	"Nordrhein-Westfalen"	"County"	198	21,4	2,31	2,04	7,69	-0,059	4,76	220261	91,1	3982402
"96"	"Recklinghausen"	"Nordrhein-Westfalen"	"County"	832	20,9	1,05	3,18	7,22	-0,098	14,82	632535	237,8	10262284
"97"	"Steinfurt"	"Nordrhein-Westfalen"	"County"	247	23,4	1,37	2,28	8,32	-0,073	5,17	443643	204	8600685
"98"	"Warendorf"	"Nordrhein-Westfalen"	"County"	212	24,8	2,4	2,03	8,06	-0,253	5,81	279003	125,1	5852032
"99"	"Bielefeld"	"Nordrhein-Westfalen"	"County-Level City"	1253	31,7	0,49	1,75	9,03	0,022	8,47	323084	184,2	8854374
"100"	"Guetersloh"	"Nordrhein-Westfalen"	"County"	365	36,1	1,18	2,41	8,55	-0,062	4,52	353514	194,5	10501447
"101"	"Herford"	"Nordrhein-Westfalen"	"County"	556	26,8	0,84	0,7	8,21	-0,231	7,07	250247	118,6	6306941
"102"	"Hoexter"	"Nordrhein-Westfalen"	"County"	124	21,3	1,6	1,02	7,83	-0,535	7,35	148470	62,5	2902078
"103"	"Lippe"	"Nordrhein-Westfalen"	"County"	283	22,9	1,17	0,61	8,39	-0,324	9,28	353007	153,2	7671485
"104"	"Minden-Luebbecke"	"Nordrhein-Westfalen"	"County"	274	30,7	0,88	1,22	8,3	-0,287	6,21	315784	159,2	8729400
"105"	"Paderborn"	"Nordrhein-Westfalen"	"County"	240	28,2	0,99	2,56	9,5	-0,046	7,15	299106	151,3	6855021
"106"	"Bochum"	"Nordrhein-Westfalen"	"County-Level City"	2587	25,9	0,33	0,17	7,21	-0,162	10,18	376319	180,3	9590945
"107"	"Dortmund"	"Nordrhein-Westfalen"	"County-Level City"	2073	30,4	0,43	2,75	8,23	-0,198	12,64	581308	305,6	14169433
"108"	"Hagen"	"Nordrhein-Westfalen"	"County-Level City"	1186	28,3	0,51	0,51	7,61	-0,614	10,62	190121	98,1	5150586
"109"	"Hamm"	"Nordrhein-Westfalen"	"County-Level City"	803	24,4	0,88	3,71	8,36	-0,122	11,24	181741	79,5	3326442
"110"	"Herne"	"Nordrhein-Westfalen"	"County-Level City"	3222	19,3	0,3	2,06	7,23	-0,251	14,79	165632	66,7	2699796
"111"	"Ennepe-Ruhr-Kreis"	"Nordrhein-Westfalen"	"County"	817	24,3	0,63	1,44	7	-0,139	9,08	333729	143,3	7195840
"112"	"Hochsauerlandkreis"	"Nordrhein-Westfalen"	"County"	138	26,9	1,15	1,18	7,79	-0,401	5,84	269927	139,7	6563461
"113"	"Maerkischer Kreis"	"Nordrhein-Westfalen"	"County"	410	27,2	0,58	0,43	7,95	-0,55	6,77	434031	208,4	11352378
"114"	"Olpe"	"Nordrhein-Westfalen"	"County"	196	28,2	0,81	1,88	7,86	-0,42	4,22	139666	73,7	3371848
"115"	"Siegen-Wittgenstein"	"Nordrhein-Westfalen"	"County"	251	31,2	0,47	1,86	7,64	-0,352	5,67	284405	149,8	7599731
"116"	"Soest"	"Nordrhein-Westfalen"	"County"	230	27,3	1,87	1,6	8,14	-0,081	7	305097	144,3	7290666
"117"	"Unna"	"Nordrhein-Westfalen"	"County"	763	23,3	0,94	3,19	7,07	-0,276	12,72	414056	159,7	7512484
"118"	"Darmstadt"	"Hessen"	"County-Level City"	1174	59,4	0,41	2,07	10,42	0,645	4,75	143332	123,3	7173435
"119"	"Frankfurt am Main"	"Hessen"	"County-Level City"	2706	84,6	0,19	1,54	10,66	0,768	4,44	671927	640	49953555
"120"	"Offenbach am Main"	"Hessen"	"County-Level City"	2646	33,6	0,31	-0,66	10,74	-0,566	10,25	118770	65	4242022
"121"	"Wiesbaden, Landeshauptstadt"	"Hessen"	"County-Level City"	1361	50,8	0,51	2,03	10,07	0,233	5,88	277493	177,2	11922203
"122"	"Bergstra_e"	"Hessen"	"County"	365	25	1,4	2,01	7,57	0,017	7,9	262796	100,1	5550990
"123"	"Darmstadt-Dieburg"	"Hessen"	"County"	439	20,6	1,63	1,63	7,74	0,166	8,16	288918	98,4	5177824
"124"	"Gro_-Gerau"	"Hessen"	"County"	560	33,9	0,78	-0,37	8,87	0,074	7,51	253599	115,7	8900267
"125"	"Hochtaunuskreis"	"Hessen"	"County"	469	41	0,64	1,4	8,16	0,354	3,87	226290	109,9	8246376
"126"	"Main-Kinzig-Kreis"	"Hessen"	"County"	291	26,7	0,97	1,09	7,83	0,098	7,08	407022	164,9	9900115
"127"	"Main-Taunus-Kreis"	"Hessen"	"County"	1019	44,3	0,61	0,54	8,99	0,229	4,23	226647	114,5	9571247
"128"	"Odenwaldkreis"	"Hessen"	"County"	156	20	0,81	0,99	7,59	-0,227	7,45	97502	37	1788560
"129"	"Offenbach"	"Hessen"	"County"	946	32,6	0,66	2,71	8,32	0,139	7,41	337163	152,4	8841046
"130"	"Rheingau-Taunus-Kreis"	"Hessen"	"County"	226	19,5	2,07	1,04	7,47	0,106	6,86	183303	62,7	3271715
"131"	"Wetteraukreis"	"Hessen"	"County"	271	22,5	0,95	2,34	7,94	0,096	7,35	298179	116,1	5536309
"132"	"Gie_en"	"Hessen"	"County"	299	28,6	0,62	0,79	7,91	0,32	9,2	255765	129,2	6829784
"133"	"Lahn-Dill-Kreis"	"Hessen"	"County"	239	27,1	0,65	1,41	7,98	-0,349	6,96	254878	122,8	6132007
"134"	"Limburg-Weilburg"	"Hessen"	"County"	232	22,9	0,82	2,09	7,74	-0,404	7,67	171487	72,8	3310579
"135"	"Marburg-Biedenkopf"	"Hessen"	"County"	199	28,3	0,67	1,85	7,54	-0,069	6,01	251150	119,2	6092816
"136"	"Vogelsbergkreis"	"Hessen"	"County"	76	20	1,58	0,86	6,77	-0,726	8,35	110989	44,2	2064724
"137"	"Kassel"	"Hessen"	"County-Level City"	1824	42,1	0,42	1,86	8,91	0,473	8,1	194774	143,4	7019806
"138"	"Fulda"	"Hessen"	"County"	158	29,6	0,69	2,53	8,09	-0,108	5,03	217759	116,3	5248413
"139"	"Hersfeld-Rotenburg"	"Hessen"	"County"	112	30	0,84	2,25	6,99	-0,388	6,88	122812	59,2	3061159
"140"	"Kassel"	"Hessen"	"County"	184	21	1,09	0,11	6,74	-0,059	7,64	237973	91,7	4958626
"141"	"Schwalm-Eder-Kreis"	"Hessen"	"County"	119	23,4	1,06	1,83	6,88	-0,375	7,97	183714	75,8	3692773
"142"	"Waldeck-Frankenberg"	"Hessen"	"County"	88	26	1,01	0,96	7,55	-0,452	6,47	163129	79,4	3900579
"143"	"Werra-Mei_ner-Kreis"	"Hessen"	"County"	102	20,5	1,87	0,09	6,73	-0,41	9,84	104580	42,8	2125401
"144"	"Koblenz"	"Rheinland-Pfalz"	"County-Level City"	1013	60	0,3	1,22	8,5	0,49	4,13	106445	99,3	5755666
"145"	"Ahrweiler"	"Rheinland-Pfalz"	"County"	163	19,5	2,84	1,99	6,82	0,177	6,28	128063	49,3	2113548
"146"	"Altenkirchen (Westerwald)"	"Rheinland-Pfalz"	"County"	207	20,8	0,74	1,13	7,07	-0,249	6,75	132873	53,9	2505832
"147"	"Bad Kreuznach"	"Rheinland-Pfalz"	"County"	180	23,5	1,22	2,17	7,71	-0,14	7,42	155842	73,6	3065497
"148"	"Birkenfeld"	"Rheinland-Pfalz"	"County"	108	22,7	0,52	1,17	7,57	-0,644	7,87	84201	38,8	1726888
"149"	"Cochem-Zell"	"Rheinland-Pfalz"	"County"	89	23,7	1,68	2,66	6,7	-0,33	4,88	63884	29,8	1222675
"150"	"Mayen-Koblenz"	"Rheinland-Pfalz"	"County"	258	23,4	0,87	1,89	7,65	-0,167	7,05	211079	92,1	4229189
"151"	"Neuwied"	"Rheinland-Pfalz"	"County"	290	24,5	0,73	0,92	7,64	-0,177	6,91	181492	81,7	4106694
"152"	"Rhein-Hunsrueck-Kreis"	"Rheinland-Pfalz"	"County"	107	24,7	1,2	1,5	7,78	-0,379	5,64	102878	49,8	2239763
"153"	"Rhein-Lahn-Kreis"	"Rheinland-Pfalz"	"County"	159	20,1	1,02	1,14	7,19	-0,308	6,17	124474	48,9	2274548
"154"	"Westerwaldkreis"	"Rheinland-Pfalz"	"County"	202	26,4	0,75	2,27	7,76	-0,336	5,51	199480	93,5	4365437
"155"	"Trier"	"Rheinland-Pfalz"	"County-Level City"	893	37,7	0,51	2,38	9,04	0,039	4,14	104587	79,2	3243186
"156"	"Bernkastel-Wittlich"	"Rheinland-Pfalz"	"County"	95	24,7	1,96	2,84	7,17	-0,417	4,09	111543	56,1	2191289
"157"	"Eifelkreis Bitburg-Pruem"	"Rheinland-Pfalz"	"County"	58	23	1,22	2,53	8,13	-0,184	3,73	94394	40,9	1771196
"158"	"Vulkaneifel"	"Rheinland-Pfalz"	"County"	68	23,3	1,37	1,44	7,36	-0,081	5,4	61789	29,2	1277179
"159"	"Trier-Saarburg"	"Rheinland-Pfalz"	"County"	130	14,3	1,67	1,21	8,14	0,372	4,79	141481	48	1830559
"160"	"Frankenthal (Pfalz)"	"Rheinland-Pfalz"	"County-Level City"	1071	28,9	0,88	2,3	7,32	0,181	7,66	46874	22,6	1122694
"161"	"Kaiserslautern"	"Rheinland-Pfalz"	"County-Level City"	711	36,7	0,15	0,94	7,91	2,209	7,44	99275	67,6	3363291
"162"	"Landau in der Pfalz"	"Rheinland-Pfalz"	"County-Level City"	518	34,9	0,7	2,86	8,63	0,216	4,17	42994	28,4	1194372
"163"	"Ludwigshafen am Rhein"	"Rheinland-Pfalz"	"County-Level City"	2106	62,2	0,62	0,55	8,95	0,032	6,45	163340	113,6	9691524
"164"	"Mainz"	"Rheinland-Pfalz"	"County-Level City"	2024	50,2	0,34	1,26	9,11	0,025	4,27	197778	145,5	8927547
"165"	"Neustadt an der Weinstra_e"	"Rheinland-Pfalz"	"County-Level City"	457	24,5	1,81	1,51	6,71	0,09	5,39	53525	27,7	1154200
"166"	"Pirmasens"	"Rheinland-Pfalz"	"County-Level City"	665	31,2	0,38	0,47	7,89	-0,485	10,7	40808	26,6	1221901
"167"	"Speyer"	"Rheinland-Pfalz"	"County-Level City"	1170	38,3	0,28	2,47	8,57	0,074	5,13	49811	35,1	1558722
"168"	"Worms"	"Rheinland-Pfalz"	"County-Level City"	752	26,6	0,97	1,53	7,89	0,024	7,72	81784	41,1	1908979
"169"	"Zweibruecken"	"Rheinland-Pfalz"	"County-Level City"	483	40	0,42	3,18	7,15	-0,748	6,15	34109	23,9	1059446
"170"	"Alzey-Worms"	"Rheinland-Pfalz"	"County"	212	19,7	3,42	2,24	7,86	-0,209	7,31	124758	43,9	2049672
"171"	"Bad Duerkheim"	"Rheinland-Pfalz"	"County"	224	18,7	3,47	1,85	7,01	0,058	5,57	133052	46,1	2133652
"172"	"Donnersbergkreis"	"Rheinland-Pfalz"	"County"	119	18,2	1,05	0,8	7,71	-0,649	7,88	76571	28,5	1297473
"173"	"Germersheim"	"Rheinland-Pfalz"	"County"	270	22,9	1,75	2,3	8,07	-0,389	5	124982	57	2373964
"174"	"Kaiserslautern"	"Rheinland-Pfalz"	"County"	166	15,9	0,91	2,01	7,53	-0,634	9,31	106149	33,1	1431164
"175"	"Kusel"	"Rheinland-Pfalz"	"County"	128	14,8	1,33	0,78	7,01	-0,401	10,38	73306	22,5	1013608
"176"	"Suedliche Weinstra_e"	"Rheinland-Pfalz"	"County"	171	19,6	3,16	2,15	7,06	-0,105	5,72	109133	41,1	1791672
"177"	"Rhein-Pfalz-Kreis"	"Rheinland-Pfalz"	"County"	488	14,7	10,4	2,49	6,97	0,108	7,34	148733	42,3	1791137
"178"	"Mainz-Bingen"	"Rheinland-Pfalz"	"County"	333	26,7	2,42	4,05	7,71	0,197	6,67	201583	70,3	3938651
"179"	"Suedwestpfalz"	"Rheinland-Pfalz"	"County"	104	12,8	1,22	0,83	5,91	-0,459	10,82	99605	24,6	1182352
"180"	"Stuttgart, Landeshauptstadt"	"Baden-Wuerttemberg"	"County-Level City"	2902	62,7	0,29	1,11	9,23	0,195	3,27	601646	476,6	34271512
"181"	"Boeblingen"	"Baden-Wuerttemberg"	"County"	601	39,6	0,52	0,79	8,86	-0,439	3,64	371616	212,5	13753348
"182"	"Esslingen"	"Baden-Wuerttemberg"	"County"	801	30,2	0,67	0,87	8,85	-0,134	3,71	514109	252,1	14404735
"183"	"Goeppingen"	"Baden-Wuerttemberg"	"County"	395	24,8	0,62	0,32	7,73	-0,289	4,61	253522	113,3	6119063
"184"	"Ludwigsburg"	"Baden-Wuerttemberg"	"County"	753	32,5	1,16	1,82	8,86	0,113	4,12	516874	242,3	14440461
"185"	"Rems-Murr-Kreis"	"Baden-Wuerttemberg"	"County"	484	26,2	1,01	0,53	7,76	-0,006	4,45	415696	187,4	10418242
"186"	"Heilbronn"	"Baden-Wuerttemberg"	"County-Level City"	1226	42	0,41	-0,37	8,98	0,344	3,67	122415	98,2	5313673
"187"	"Heilbronn"	"Baden-Wuerttemberg"	"County"	299	34,6	1,3	3,65	8,13	-0,12	4,5	329054	153,5	8566847
"188"	"Hohenlohekreis"	"Baden-Wuerttemberg"	"County"	140	34,6	1,28	2,33	8,25	-0,297	3,06	109028	62,5	3120840
"189"	"Schwaebisch Hall"	"Baden-Wuerttemberg"	"County"	127	31,1	0,99	3,05	8,25	-0,119	3,25	188694	101,1	4602663
"190"	"Main-Tauber-Kreis"	"Baden-Wuerttemberg"	"County"	103	29,1	0,85	1,25	7,29	-0,24	4,02	134211	70,5	3506798
"191"	"Heidenheim"	"Baden-Wuerttemberg"	"County"	210	30,6	0,62	1,09	7,47	-0,478	4,51	131854	64,7	3678306
"192"	"Ostalbkreis"	"Baden-Wuerttemberg"	"County"	206	28,1	0,71	1,72	8,39	-0,355	3,95	312129	154,2	7610300
"193"	"Baden-Baden"	"Baden-Wuerttemberg"	"County"	389	44,3	1	3,26	7,08	0,033	3,99	54494	40,2	1864966
"194"	"Karlsruhe"	"Baden-Wuerttemberg"	"County"	1683	53,8	0,18	2,39	8,55	0,505	4,15	291959	223,2	12926628
"195"	"Karlsruhe"	"Baden-Wuerttemberg"	"County"	398	29,4	0,82	2,74	7,72	0,219	4,22	431606	194,9	10162221
"196"	"Rastatt"	"Baden-Wuerttemberg"	"County"	307	28,9	0,92	1,23	7,58	0,134	3,99	226912	108,2	5906013
"197"	"Heidelberg"	"Baden-Wuerttemberg"	"County-Level City"	1346	47	0,36	1,98	8,81	0,498	3,41	146466	110,6	5841703
"198"	"Mannheim, Universitaetsstadt"	"Baden-Wuerttemberg"	"County-Level City"	2152	51,7	0,31	2,23	8,8	0,345	5,07	311969	224,8	13427920
"199"	"Neckar-Odenwald-Kreis"	"Baden-Wuerttemberg"	"County"	131	23,3	0,76	1,22	7,76	-0,325	4,93	147782	66	3102892
"200"	"Rhein-Neckar-Kreis"	"Baden-Wuerttemberg"	"County"	505	27,5	0,78	2,81	8,17	0,347	5,21	536281	218,1	11790472
