"Name"	"Bundesland"	"Category"	"Population density"	"GDP per inhabitant"	"Workers in Agriculture"	"GDP growth rate"	"Natality"	"Net Migration"	"Unemployment"	"Population"	"Employees"	"GDP in Tsd. 2000"
"1"	"Flensburg"	"Schleswig-Holstein"	"County-Level City"	1560	35,3	0,18	2,16	9,1	-0,076	8,71	88502	56,8	2618827
"2"	"Kiel, Landeshauptstadt"	"Schleswig-Holstein"	"County-Level City"	2008	38,1	0,25	1,79	8,92	0,423	8,79	238281	159,2	7829214
"3"	"Luebeck, Hansestadt"	"Schleswig-Holstein"	"County-Level City"	979	29,5	0,41	1,05	8,42	-0,111	10,56	209818	121,1	5647687
"4"	"Neumuenster"	"Schleswig-Holstein"	"County-Level City"	1074	31,1	1,06	0,97	8,87	0,109	9,37	76897	47,1	2196875
"5"	"Dithmarschen"	"Schleswig-Holstein"	"County"	95	23,4	3,21	0,33	7,6	0,122	11,14	135279	56,1	3076849
"6"	"Herzogtum Lauenburg"	"Schleswig-Holstein"	"County"	148	18,4	2,75	0,64	7,44	0,19	9,48	186629	65,4	3243319
"7"	"Nordfriesland"	"Schleswig-Holstein"	"County"	80	28,2	2,01	2,38	7,15	0,072	7,42	165771	84,7	3852162
"8"	"Ostholstein"	"Schleswig-Holstein"	"County"	147	19	2,27	0,5	6,35	0,451	9,31	204948	83,6	3726932
"9"	"Pinneberg"	"Schleswig-Holstein"	"County"	455	24,2	2,9	1,88	7,88	0,529	7,71	302430	120,8	6249941
"10"	"Ploen"	"Schleswig-Holstein"	"County"	124	15,9	2,76	1,96	6,55	0,178	10,18	134573	43,4	1824310
"11"	"Rendsburg-Eckernfoerde"	"Schleswig-Holstein"	"County"	124	23,1	2,5	0,73	7,28	0,057	6,65	270626	111,8	5859654
"12"	"Schleswig-Flensburg"	"Schleswig-Holstein"	"County"	96	20,4	2,93	1,14	7,89	0,21	10,03	198426	78,5	3668968
"13"	"Segeberg"	"Schleswig-Holstein"	"County"	192	25,8	1,66	1,35	7,96	0,252	6,11	258150	114,7	5937320
"14"	"Steinburg"	"Schleswig-Holstein"	"County"	126	27	2,41	1,41	7,48	-0,122	7,34	133370	54	3191753
"15"	"Stormarn"	"Schleswig-Holstein"	"County"	298	27,5	1,5	2,25	7,82	0,709	4,56	228327	106,4	5225298
"16"	"Braunschweig"	"Niedersachsen"	"County-Level City"	1288	35,5	0,39	1,3	8,54	0,82	7,47	247400	152,4	7870522
"17"	"Salzgitter"	"Niedersachsen"	"County-Level City"	462	34,1	0,35	-0,34	7,43	-0,442	8,82	103446	56,4	3640845
"18"	"Wolfsburg"	"Niedersachsen"	"County-Level City"	594	81,8	0,36	0,1	8,25	0,705	3,85	121109	111,8	9818707
"19"	"Gifhorn"	"Niedersachsen"	"County"	111	15,6	1,68	1,7	8,05	-0,234	11,09	173223	53,7	2347766
"20"	"Goettingen"	"Niedersachsen"	"County"	232	27,2	1,01	1,15	7,6	0,026	9,66	259281	128,7	6396776
"21"	"Goslar"	"Niedersachsen"	"County"	150	21,2	0,96	0,21	5,99	-0,262	10,63	144680	62,6	3014333
"22"	"Helmstedt"	"Niedersachsen"	"County"	139	16,2	1,37	-0,07	6,39	-0,414	14,9	93903	29,2	1533631
"23"	"Northeim"	"Niedersachsen"	"County"	111	21,8	2,92	1,05	6,57	-0,605	9,98	140553	58,2	2804340
"24"	"Osterode am Harz"	"Niedersachsen"	"County"	123	26,4	0,83	1,77	6,4	-0,644	10,67	78253	36,3	1780567
"25"	"Peine"	"Niedersachsen"	"County"	247	18,4	1,15	1,77	7,62	-0,023	12,5	132066	43,6	2101151
"26"	"Wolfenbuettel"	"Niedersachsen"	"County"	170	15,1	2,27	1,9	6,38	-0,257	11,92	122806	35,3	1585093
"27"	"Region Hannover"	"Niedersachsen"	"County"	493	35,6	0,58	2,01	8,43	0,232	8,41	1130262	623,7	34028077
