	Land	Kategorie	Flaeche	Einwohner	BIP in Tsd 2009	BIP in Tsd 2000	Erwerbstaetige_Tsd	Erwerb_LaWi_Tsd	Arbeitslose	Geburten	Zuzug	Wegzug
Flensburg	Schleswig-Holstein	Kreisfreie Stadt	56,74	88502	3127592	2618827	56,8	0,1	4948	805	6645	6712
Kiel, Landeshauptstadt	Schleswig-Holstein	Kreisfreie Stadt	118,65	238281	9089051	7829214	159,2	0,4	13993	2125	14915	13907
Luebeck, Hansestadt	Schleswig-Holstein	Kreisfreie Stadt	214,21	209818	6181305	5647687	121,1	0,5	12785	1767	11995	12227
Neumuenster	Schleswig-Holstein	Kreisfreie Stadt	71,63	76897	2389009	2196875	47,1	0,5	4411	682	3810	3726
Dithmarschen	Schleswig-Holstein	Landkreis	1428,01	135279	3169155	3076849	56,1	1,8	6249	1028	9830	9665
Herzogtum Lauenburg	Schleswig-Holstein	Landkreis	1262,97	186629	3431475	3243319	65,4	1,8	6197	1389	12776	12422
Nordfriesland	Schleswig-Holstein	Landkreis	2082,81	165771	4675894	3852162	84,7	1,7	6285	1185	12641	12521
Ostholstein	Schleswig-Holstein	Landkreis	1392,26	204948	3896151	3726932	83,6	1,9	7780	1302	13868	12944
Pinneberg	Schleswig-Holstein	Landkreis	664,25	302430	7308308	6249941	120,8	3,5	9319	2384	20634	19035
Ploen	Schleswig-Holstein	Landkreis	1083,19	134573	2145721	1824310	43,4	1,2	4417	882	8778	8538
Rendsburg-Eckernfoerde	Schleswig-Holstein	Landkreis	2186,25	270626	6242279	5859654	111,8	2,8	7431	1971	19190	19035
Schleswig-Flensburg	Schleswig-Holstein	Landkreis	2071,27	198426	4046775	3668968	78,5	2,3	7875	1565	14821	14405
Segeberg	Schleswig-Holstein	Landkreis	1344,41	258150	6657609	5937320	114,7	1,9	7009	2056	17903	17252
Steinburg	Schleswig-Holstein	Landkreis	1056,13	133370	3596709	3191753	54	1,3	3962	997	8695	8858
Stormarn	Schleswig-Holstein	Landkreis	766,28	228327	6284297	5225298	106,4	1,6	4849	1785	15758	14140
Braunschweig	Niedersachsen	Kreisfreie Stadt	192,15	247400	8794543	7870522	152,4	0,6	11383	2113	14226	12197
Salzgitter	Niedersachsen	Kreisfreie Stadt	223,91	103446	3530098	3640845	56,4	0,2	4977	769	3439	3896
Wolfsburg	Niedersachsen	Kreisfreie Stadt	204,05	121109	9909290	9818707	111,8	0,4	4309	999	5750	4896
Gifhorn	Niedersachsen	Landkreis	1562,78	173223	2707873	2347766	53,7	0,9	5957	1395	9320	9726
Goettingen	Niedersachsen	Landkreis	1117,23	259281	7058686	6396776	128,7	1,3	12438	1971	21604	21537
Goslar	Niedersachsen	Landkreis	965,23	144680	3071484	3014333	62,6	0,6	6657	867	7401	7780
Helmstedt	Niedersachsen	Landkreis	673,82	93903	1523803	1533631	29,2	0,4	4351	600	4566	4955
Northeim	Niedersachsen	Landkreis	1267,04	140553	3070511	2804340	58,2	1,7	5808	924	5754	6604
Osterode am Harz	Niedersachsen	Landkreis	636	78253	2063571	1780567	36,3	0,3	3875	501	3335	3839
Peine	Niedersachsen	Landkreis	534,86	132066	2435498	2101151	43,6	0,5	5450	1006	5835	5866
Wolfenbuettel	Niedersachsen	Landkreis	722,72	122806	1855690	1585093	35,3	0,8	4209	783	6392	6707
Region Hannover	Niedersachsen	Landkreis	2290,65	1130262	40190018	34028077	623,7	3,6	52474	9524	61776	59152
Hannover, Landeshauptstadt	Niedersachsen	Kreisfreie Stadt	204,14	520966	26782952	22430390	386,3	-	-	4928	30730	28957
Diepholz	Niedersachsen	Landkreis	1987,84	213634	4848331	4267489	90,7	2,3	5773	1563	13685	13757
Hameln-Pyrmont	Niedersachsen	Landkreis	796,14	155164	4229121	3824792	69,4	1	7209	1072	7675	7933
Hildesheim	Niedersachsen	Landkreis	1205,78	284551	6119448	5615842	121,1	1,1	11568	1982	14154	14887
Holzminden	Niedersachsen	Landkreis	692,55	74094	1678514	1638356	30,2	0,4	3220	537	3560	4044
Nienburg (Weser)	Niedersachsen	Landkreis	1398,94	122989	2685917	2653229	52,7	1,2	4555	919	8594	8966
Schaumburg	Niedersachsen	Landkreis	675,58	161746	2953226	2928623	61,9	0,5	6827	1106	9594	9882
Celle	Niedersachsen	Landkreis	1545,11	179247	4122914	4030075	76,9	1,5	7237	1431	9540	9740
Cuxhaven	Niedersachsen	Landkreis	2072,57	201188	3349992	2962614	68,3	2,1	7754	1471	11274	11147
Harburg	Niedersachsen	Landkreis	1244,89	245624	4362038	3552276	80,2	2	6001	1867	15771	14286
Luechow-Dannenberg	Niedersachsen	Landkreis	1220,54	49699	881673	816093	18,9	0,7	2604	315	3451	3330
Lueneburg	Niedersachsen	Landkreis	1323,45	177042	3618359	3090850	75,4	1,4	6610	1496	13723	12956
Osterholz	Niedersachsen	Landkreis	650,77	112029	1808177	1576900	37,8	0,7	2925	801	5784	5762
Rotenburg (Wuemme)	Niedersachsen	Landkreis	2070,12	164064	3857780	3102324	78	2,1	4513	1329	9195	9490
Heidekreis	Niedersachsen	Landkreis	1873,54	140053	3619973	2978472	70	1,4	5824	1108	7467	7740
Stade	Niedersachsen	Landkreis	1266,04	196952	4831444	4246258	82,5	2,7	7340	1640	13820	13479
Uelzen	Niedersachsen	Landkreis	1454,08	94428	1980748	1683129	40,8	1,5	3859	653	5626	5512
Verden	Niedersachsen	Landkreis	787,96	133328	3228234	2938011	57,1	1,4	4181	1065	7290	7236
Delmenhorst	Niedersachsen	Kreisfreie Stadt	62,36	74512	1436719	1226173	33,6	0,2	4021	544	3071	3121
Emden	Niedersachsen	Kreisfreie Stadt	112,35	51292	2135903	2263073	38	0,1	2726	436	2438	2527
Oldenburg (Oldenburg)	Niedersachsen	Kreisfreie Stadt	102,97	161334	6395075	5238962	106,4	0,3	7834	1423	11276	10052
Osnabrueck	Niedersachsen	Kreisfreie Stadt	119,8	163514	6122434	6270183	117,8	0,3	6473	1363	10353	9910
Wilhelmshaven	Niedersachsen	Kreisfreie Stadt	106,91	81137	2800300	2593649	47,8	0,3	4536	549	4335	4102
Ammerland	Niedersachsen	Landkreis	728,34	117517	2559667	2045054	51,9	3,7	3675	850	6760	6041
Aurich	Niedersachsen	Landkreis	1287,31	188973	3504504	2979233	74,7	1,7	8274	1470	10679	10431
Cloppenburg	Niedersachsen	Landkreis	1418,31	157506	3918400	2991574	75,6	4,2	4968	1573	13872	13750
Emsland	Niedersachsen	Landkreis	2881,84	313098	9901391	7486673	164,3	3,1	7126	2721	16876	17406
Friesland	Niedersachsen	Landkreis	607,89	99851	1910109	1973589	39,8	0,7	3602	700	5390	5436
Grafschaft Bentheim	Niedersachsen	Landkreis	980,77	135346	3066669	2648892	63,3	1,1	3017	1167	5530	5604
Leer	Niedersachsen	Landkreis	1086,02	164837	3849185	2780399	67,5	1,4	6584	1337	9101	8828
Oldenburg	Niedersachsen	Landkreis	1063,06	126571	2185191	1956170	45,4	1,4	3777	1007	7515	6685
Osnabrueck	Niedersachsen	Landkreis	2121,6	357056	7661374	6295265	149,4	3,3	8858	2880	17766	18357
Vechta	Niedersachsen	Landkreis	820,47	134838	4168631	3198089	81,1	2,9	3086	1318	12611	12505
Wesermarsch	Niedersachsen	Landkreis	821,91	91228	2763493	2175332	37,6	0,7	3661	647	4629	4957
Wittmund	Niedersachsen	Landkreis	656,65	57391	1062222	889423	24,1	0,7	2260	436	3552	3489
Bremerhaven	Bremen	Kreisfreie Stadt	78,86	114031	3686431	2962063	67,7	0,2	9248	973	5824	5823
Duesseldorf	Nordrhein-Westfalen	Kreisfreie Stadt	217,22	586217	41250211	34243789	492,5	1,3	28901	5655	36527	34071
Duisburg	Nordrhein-Westfalen	Kreisfreie Stadt	232,81	491931	14734717	12803238	224,3	0,8	30936	4098	17999	18147
Essen	Nordrhein-Westfalen	Kreisfreie Stadt	210,31	576259	23192117	17823291	316,4	1,6	34771	4619	21873	22708
Krefeld	Nordrhein-Westfalen	Kreisfreie Stadt	137,75	235414	7608580	7347536	119	0,8	12084	1829	8813	8874
Moenchengladbach	Nordrhein-Westfalen	Kreisfreie Stadt	170,45	258251	6811556	6108117	123,9	0,6	15081	2114	9662	9423
Muelheim an der Ruhr	Nordrhein-Westfalen	Kreisfreie Stadt	91,29	167471	5549353	4209394	81,7	0,6	6789	1257	6367	6293
